type(String),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String),coordinates(String),ident(String),name(String),elevation_ft(Integer)
small_airport,NA,US,US-CA,Barstow,00CA,00CA,"35.350498199499995, -116.888000488",00CA,Goldstone /Gts/ Airport,3038
small_airport,NA,US,US-OK,Alex,00AS,00AS,"34.9428028, -97.8180194",00AS,Fulton Airport,1100
small_airport,NA,US,US-AZ,Cordes,00AZ,00AZ,"34.305599212646484, -112.16500091552734",00AZ,Cordes Airport,3810
small_airport,NA,US,US-CA,Biggs,00CL,00CL,"39.427188, -121.763427",00CL,Williams Ag Airport,87
heliport,NA,US,US-CA,Pine Valley,00CN,00CN,"32.7273736, -116.4597417",00CN,Kitchen Creek Helibase Heliport,3350
small_airport,NA,US,US-FL,Bushnell,00FA,00FA,"28.64550018310547, -82.21900177001953",00FA,Grass Patch Airport,53
heliport,NA,US,US-FL,Riverview,00FD,00FD,"28.846599578857422, -82.34539794921875",00FD,Ringhaver Heliport,25
small_airport,NA,US,US-FL,Okeechobee,00FL,00FL,"27.230899810791016, -80.96920013427734",00FL,River Oak Airport,35
small_airport,NA,US,US-GA,Lithonia,00GA,00GA,"33.76750183105469, -84.06829833984375",00GA,Lt World Airport,700
heliport,NA,US,US-GA,Hiram,00GE,00GE,"33.88420104980469, -84.73390197753906",00GE,Caffrey Heliport,957
heliport,NA,US,US-HI,Kailua/Kona,00HI,00HI,"19.832715, -155.980233",00HI,Kaupulehu Heliport,43
small_airport,NA,US,US-ID,Clark Fork,00ID,00ID,"48.145301818847656, -116.21399688720703",00ID,Delta Shores Airport,2064
small_airport,NA,US,US-KS,McDonald,00IG,00IG,"39.724028, -101.395994",00IG,Goltl Airport,3359
heliport,NA,US,US-IN,Chesterton,00II,00II,"41.644500732421875, -87.122802734375",00II,Bailey Generation Station Heliport,600
small_airport,NA,US,US-IL,Polo,00IL,00IL,"41.97840118408203, -89.5604019165039",00IL,Hammer Airport,840
heliport,NA,US,US-IN,Hobart,00IN,00IN,"41.51139831542969, -87.2605972290039",00IN,St Mary Medical Center Heliport,634
small_airport,NA,US,US-IL,Kings,00IS,00IS,"40.02560043334961, -89.1229019165039",00IS,Hayenga's Cant Find Farms Airport,820
small_airport,NA,US,US-KS,Gardner,00KS,00KS,"38.72779846191406, -94.93049621582031",00KS,Hayden Farm Airport,1100
small_airport,NA,US,US-KY,Stanford,00KY,00KY,"37.409400939941406, -84.61969757080078",00KY,Robbins Roost Airport,1265
heliport,NA,US,US-LA,Gonzales,00LA,00LA,"30.191944, -90.980833",00LA,Shell Chemical East Site Heliport,15
heliport,NA,US,US-IL,Chatham,00LL,00LL,"39.66529846191406, -89.70559692382812",00LL,Ac & R Components Heliport,600
small_airport,NA,US,US-LA,Esterwood,00LS,00LS,"30.13629913330078, -92.42939758300781",00LS,Lejeune Airport,12
small_airport,NA,US,US-MD,Federalsburg,00MD,00MD,"38.75709915161133, -75.75379943847656",00MD,Slater Field,45
heliport,NA,US,US-MI,Ludington,00MI,00MI,"43.94940185546875, -86.41670227050781",00MI,Dow Chemical Heliport,588
small_airport,NA,US,US-MN,Battle Lake,00MN,00MN,"46.29999923706055, -95.70030212402344",00MN,Battle Lake Municipal Airport,1365
small_airport,NA,US,US-MO,Alba,00MO,00MO,"37.202800750732, -94.412399291992",00MO,Cooper Flying Service Airport,970
small_airport,NA,US,US-NJ,Bridgeton,00N,00N,"39.473201751708984, -75.1852035522461",00N,Bucks Airport,105
small_airport,NA,US,US-NC,Louisburg,00NC,00NC,"36.085201263427734, -78.37139892578125",00NC,North Raleigh Airport,348
heliport,NA,US,US-NJ,New Brunswick,00NJ,00NJ,"40.52090072631836, -74.47460174560547",00NJ,Colgate-Piscataway Heliport,78
seaplane_base,NA,US,US-NY,Beekmantown,00NK,00NK,"44.8118612, -73.3698057",00NK,Cliche Cove Seaplane Base,96
small_airport,NA,US,US-NY,West Bloomfield,00NY,00NY,"42.90010070800781, -77.49970245361328",00NY,Weiss Airfield,1000
small_airport,NA,US,US-OH,Wauseon,00OH,00OH,"41.59090042114258, -84.14219665527344",00OH,Exit 3 Airport,785
heliport,NA,US,US-OH,Dayton,00OI,00OI,"39.74530029296875, -84.1874008178711",00OI,Miami Valley Hospital Heliport,905
small_airport,NA,US,US-OK,Sandsprings,00OK,00OK,"36.198598, -96.217693",00OK,Gull Bay Landing Airport,960
heliport,NA,US,US-OR,Salem,00OR,00OR,"44.932899475097656, -123.12999725341797",00OR,Steel Systems Heliport,195
heliport,NA,US,US-PA,Coatesville,00PA,00PA,"39.94889831542969, -75.74690246582031",00PA,R J D Heliport,402
small_airport,NA,US,US-PA,Mercer,00PN,00PN,"41.2995, -80.211111",00PN,Ferrell Field,1301
small_airport,NA,US,US-OR,Mc Kenzie Bridge,00S,00S,"44.183200836199994, -122.088996887",00S,Mc Kenzie Bridge State Airport,1620
small_airport,NA,US,US-SC,Sumter,00SC,00SC,"34.0093994140625, -80.26719665527344",00SC,Flying O Airport,150
small_airport,NA,US,US-SD,Gary,00SD,00SD,"44.809158, -96.498897",00SD,Homan Field,1590
heliport,NA,US,US-TX,Fort Worth,00TA,00TA,"32.826900482177734, -97.30580139160156",00TA,Sw Region Faa Heliport,598
heliport,NA,US,US-TX,Fort Worth,00TE,00TE,"32.847599029541016, -97.18949890136719",00TE,Tcjc-Northeast Campus Heliport,600
small_airport,NA,US,US-TN,Manchester,00TN,00TN,"35.515899658203125, -85.95359802246094",00TN,Ragsdale Road Airport,1100
small_airport,NA,US,US-TX,Everman,00TS,00TS,"32.607601165771484, -97.24199676513672",00TS,Alpine Range Airport,670
small_airport,NA,US,US-VA,Alton,00VA,00VA,"36.57600021, -78.9991684",00VA,Vaughan Airport,551
small_airport,NA,US,US-VA,Hillsville,00VI,00VI,"36.663299560546875, -80.49949645996094",00VI,Groundhog Mountain Airport,2680
small_airport,NA,US,US-WA,Colfax,00W,00W,"46.673500061035, -117.44300079346",00W,Lower Granite State Airport,719
small_airport,NA,US,US-WA,Longbranch,00WA,00WA,"47.17839813232422, -122.77200317382812",00WA,Howell Airport,150
small_airport,NA,US,US-WI,Waupaca,00WI,00WI,"44.304298400878906, -89.05010223388672",00WI,Northern Lite Airport,860
small_airport,NA,US,US-WA,Asotin,00WN,00WN,"46.25, -117.2490005493164",00WN,Hawks Run Airport,2900
small_airport,NA,US,US-WV,Beverly,00WV,00WV,"38.82889938354492, -79.86609649658203",00WV,Lazy J. Aerodrome,2060
heliport,NA,US,US-WY,Casper,00WY,00WY,"42.840361, -106.224443",00WY,Mountain View Regional Hospital Heliport,5210
small_airport,NA,US,US-TX,O'Donnell,00XS,00XS,"33.03340148925781, -101.93399810791016",00XS,L P Askew Farms Airport,3110
small_airport,NA,US,US-AK,Purkeypile,01A,01A,"62.943599700927734, -152.27000427246094",01A,Purkeypile Airport,1950
heliport,NA,US,US-AK,Seward,01AK,01AK,"60.105873975399994, -149.446249008",01AK,Providence Seward Medical Center Heliport,120
small_airport,NA,US,US-AL,Clanton,01AL,01AL,"32.94599914550781, -86.51390075683594",01AL,Ware Island Airport,344
heliport,NA,US,US-AR,De Queen,01AR,01AR,"34.047298431396484, -94.35489654541016",01AR,Community Hospital of De Queen Heliport,400
heliport,NA,US,US-AZ,Camp Verde,01AZ,01AZ,"34.60810089111328, -111.86499786376953",01AZ,Yat Heliport,3300
closed,NA,US,US-MI,Grant,01C,01C,"43.341701507568, -85.775001525879",01C,Grant Airport,815
heliport,NA,US,US-CA,Hesperia,01CA,01CA,"34.368240591699994, -117.370058745",01CA,Lugo Substation Heliport,3733
small_airport,NA,US,US-CA,Placerville,01CL,01CL,"38.79990005493164, -120.73400115966797",01CL,Swansboro Country Airport,2594
heliport,NA,US,US-CA,Los Angeles,01CN,01CN,"34.03779983520508, -118.15399932861328",01CN,Los Angeles County Sheriff's Department Heliport,300
heliport,NA,US,US-CO,Leadville,01CO,01CO,"39.24530029296875, -106.24600219726562",01CO,St Vincent General Hospital Heliport,10175
heliport,NA,US,US-CT,Berlin,01CT,01CT,"41.62730026245117, -72.72750091552734",01CT,Berlin Fairgrounds Heliport,60
small_airport,NA,US,US-FL,Orlando,01FA,01FA,"28.589399337768555, -81.14420318603516",01FA,Rybolt Ranch Airport,55
heliport,NA,US,US-FL,Altamonte Springs,01FD,01FD,"28.666639, -81.3697",01FD,Advent Health Altamonte Springs Heliport,86
small_airport,NA,US,US-FL,Geneva,01FL,01FL,"28.78190040588379, -81.1592025756836",01FL,Cedar Knoll Flying Ranch Airport,19
heliport,NA,US,US-GA,Columbus,01GA,01GA,"32.47930145263672, -84.9791030883789",01GA,Medical Center Heliport,319
small_airport,NA,US,US-GA,Wrightsville,01GE,01GE,"32.674400329589844, -82.77110290527344",01GE,The Farm Airport,375
small_airport,NA,US,US-IA,Maysville,01IA,01IA,"41.66109848022461, -90.74130249023438",01IA,Stender Airport,725
small_airport,NA,US,US-ID,Lava Hot Springs,01ID,01ID,"42.6082, -112.031998",01ID,Lava Hot Springs Airport,5268
small_airport,NA,US,US-IN,Lizton,01II,01II,"39.8849983215332, -86.50669860839844",01II,Myers Field,950
heliport,NA,US,US-IL,Hoopeston,01IL,01IL,"40.45859909057617, -87.65950012207031",01IL,Hoopeston Community Memorial Hospital Heliport,583
heliport,NA,US,US-IN,Anderson,01IN,01IN,"40.13090133666992, -85.69580078125",01IN,Community Hospital Heliport,890
small_airport,NA,US,US-IL,Dow,01IS,01IS,"39.01620101928711, -90.31819915771484",01IS,William E. Koenig Airport,670
small_airport,NA,US,US-FL,Hilliard,01J,01J,"30.68630027770996, -81.90570068359375",01J,Hilliard Airpark,59
small_airport,NA,US,US-KS,Caldwell,01K,01K,"37.03609848022461, -97.5864028930664",01K,Caldwell Municipal Airport,1157
small_airport,NA,US,US-KS,Lost Springs,01KS,01KS,"38.54059982299805, -97.00330352783203",01KS,Flying N Ranch Airport,1485
heliport,NA,US,US-KY,Paducah,01KY,01KY,"37.051700592041016, -88.64689636230469",01KY,Lourdes Hospital Heliport,419
small_airport,NA,US,US-LA,Oak Ridge,01LA,01LA,"32.638999938964844, -91.77369689941406",01LA,Barham Airport,90
small_airport,NA,US,US-IL,Pinckneyville,01LL,01LL,"38.12580108642578, -89.46389770507812",01LL,Schumaier Restricted Landing Area,555
small_airport,NA,US,US-LA,Slaughter,01LS,01LS,"30.70599937438965, -91.07740020751953",01LS,Country Breeze Airport,125
heliport,NA,US,US-MA,Andover,01MA,01MA,"42.625099182128906, -71.18009948730469",01MA,Compaq Andover Heliport,140
seaplane_base,NA,US,US-ME,Portage Lake,01ME,01ME,"46.778900146484375, -68.50029754638672",01ME,Saint Peter's Seaplane Base,608
heliport,NA,US,US-MI,Flint,01MI,01MI,"43.04949951171875, -83.67970275878906",01MI,Flow Through Terminal Heliport,736
seaplane_base,NA,US,US-MN,Cook,01MN,01MN,"47.899600982666016, -92.55740356445312",01MN,Barnes Seaplane Base,1358
heliport,NA,US,US-MO,Town and Country,01MO,01MO,"38.641700744628906, -90.48429870605469",01MO,Highway Patrol Troop C Headquarters Heliport,615
small_airport,NA,US,US-MT,Fortine,01MT,01MT,"48.789100646972656, -114.87999725341797",01MT,Crystal Lakes Resort Airport,3141
small_airport,NA,US,US-NC,Holly Ridge,01NC,01NC,"34.47529983520508, -77.5813980102539",01NC,Topsail Airpark,65
small_airport,NA,US,US-NE,Wellfleet,01NE,01NE,"40.84360122680664, -100.65299987792969",01NE,Detour Airport,3000
small_airport,NA,US,US-NH,Canaan,01NH,01NH,"43.6445, -72.086998",01NH,Moore Airfield,835
heliport,NA,US,US-NJ,Newark,01NJ,01NJ,"40.741798400878906, -74.13710021972656",01NJ,Albert Guido Memorial Heliport,10
small_airport,NA,US,US-NM,Artesia,01NM,01NM,"33.008611, -104.540278",01NM,Champion Ranch Airport,3630
small_airport,NA,US,US-NV,Yerington,01NV,01NV,"38.76390075683594, -119.0270004272461",01NV,Lantana Ranch Airport,4600
heliport,NA,US,US-NY,Poughkeepsie,01NY,01NY,"41.70009994506836, -73.94960021972656",01NY,Vassar Hospital Heliport,100
heliport,NA,US,US-OH,Galion,01OI,01OI,"40.73059844970703, -82.80159759521484",01OI,Galion Community Hospital Heliport,1140
heliport,NA,US,US-PA,Mars,01PA,01PA,"40.655601501464844, -80.0509033203125",01PA,Pine Heliport,1215
small_airport,NA,US,US-PA,Bellefonte,01PN,01PN,"40.930599212646484, -77.73889923095703",01PN,Bierly(Personal Use) Airport,960
small_airport,NA,US,US-PA,Meshoppen,01PS,01PS,"41.59590148925781, -76.02960205078125",01PS,Nort's Resort Airport,1040
small_airport,NA,US,US-SC,York,01SC,01SC,"35.032100677490234, -81.25279998779297",01SC,York Airport,779
heliport,NA,US,US-TX,Arlington,01TA,01TA,"32.69419860839844, -97.11579895019531",01TA,Thirty Thirty Matlock Office Center Heliport,630
small_airport,NA,US,US-TX,Forney,01TE,01TE,"32.73759841918945, -96.4280014038086",01TE,Smith Field,505
small_airport,NA,US,US-TN,Collierville,01TN,01TN,"34.99589920043945, -89.73059844970703",01TN,Colonial Air Park,370
small_airport,NA,US,US-TX,Waxahachie,01TX,01TX,"32.38759994506836, -96.87750244140625",01TX,Mims Farm Ultralightport,610
small_airport,NA,US,US-NV,Duckwater,01U,01U,"38.851600646972656, -115.63400268554688",01U,Duckwater Airport,5124
small_airport,NA,US,US-UT,La Sal,01UT,01UT,"38.30830001831055, -109.39600372314453",01UT,La Sal Junction Airport,6000
small_airport,NA,US,US-VA,Berryville,01VA,01VA,"39.125, -77.9250030518",01VA,Pickles Airport,500
heliport,NA,US,US-WA,South Bend,01WA,01WA,"46.66320037841797, -123.81199645996094",01WA,Willapa Harbor Heliport,154
small_airport,NA,US,US-WI,Tomah,01WI,01WI,"44.0099983215332, -90.38919830322266",01WI,Prehn Cranberry Company Airport,930
heliport,NA,US,US-WA,Coupeville,01WN,01WN,"48.213401794433594, -122.68499755859375",01WN,Whidbey General Hospital Heliport,103
heliport,NA,US,US-WA,Renton,01WT,01WT,"47.518178, -122.210908",01WT,Odyssey Heliport,20
small_airport,NA,US,US-WY,Moorcroft,01WY,01WY,"44.347198486328125, -104.81099700927734",01WY,Keyhole Airport,4250
heliport,NA,US,US-TX,Kyle,01XA,01XA,"30.007222, -97.853333",01XA,Seton Medical Center Hays Heliport,715
heliport,NA,US,US-TX,Athens,01XS,01XS,"32.020198822021484, -95.74549865722656",01XS,Meadowood Ranch Heliport,500
small_airport,NA,US,US-AK,Willow,02AK,02AK,"61.87689971923828, -150.09800720214844",02AK,Rustic Wilderness Airport,190
small_airport,NA,US,US-AL,Foley,02AL,02AL,"30.37150001525879, -87.76439666748047",02AL,Bass Field,61
heliport,NA,US,US-CA,Huntington Beach,02CA,02CA,"33.58250045776367, -118.12899780273438",02CA,Swepi Beta Platform Ellen Heliport,122
small_airport,NA,US,US-MS,Clarksdale,02CD,02CD,"34.129600524902344, -90.52400207519531",02CD,Shannon Field,165
small_airport,NA,US,US-CA,Frazier Park,02CL,02CL,"34.761101, -119.058998",02CL,Conover Air Lodge Airport,5160
small_airport,NA,US,US-CO,Monte Vista,02CO,02CO,"37.64329910279999, -106.04699707",02CO,Mc Cullough Airport,7615
heliport,NA,US,US-CT,Ellington,02CT,02CT,"41.91960144042969, -72.44450378417969",02CT,Strangers Point Heliport,540
small_airport,NA,US,US-FL,Groveland,02FA,02FA,"28.52669906616211, -81.87480163574219",02FA,Osborn Airfield,121
small_airport,NA,US,US-FL,Defuniak Springs,02FL,02FL,"30.642778, -86.123889",02FL,Cuchens Airport,215
small_airport,NA,US,US-GA,Commerce,02GA,02GA,"34.202598571777344, -83.42900085449219",02GA,Doug Bolton Field,884
small_airport,NA,US,US-GA,Euharlee,02GE,02GE,"34.17530059814453, -84.92440032958984",02GE,Etowah Fields Airport,710
heliport,NA,US,US-HI,Pearl Harbor,02HI,02HI,"21.36199951171875, -157.9510040283203",02HI,K3 Helipad Heliport,9
heliport,NA,US,US-IA,Boone,02IA,02IA,"42.05609893798828, -93.87799835205078",02IA,Boone County Hospital Heliport,1160
small_airport,NA,US,US-ID,Cascade,02ID,02ID,"44.55550003051758, -115.30500030517578",02ID,Morgan Ranch Airport,5634
small_airport,NA,US,US-IN,Westfield,02II,02II,"40.06230163574219, -86.21050262451172",02II,King Ultralightport,925
small_airport,NA,US,US-IN,Muncie,02IN,02IN,"40.208900451660156, -85.54080200195312",02IN,Diamond P. Field,904
heliport,NA,US,US-IL,Libertyville,02IS,02IS,"42.274600982666016, -87.9572982788086",02IS,Condell Medical Center Heliport,762
small_airport,NA,US,US-KS,St Marys,02KS,02KS,"39.222198486328125, -96.0552978515625",02KS,Jmj Landing Airport,1170
heliport,NA,US,US-KY,Morehead,02KT,02KT,"38.181441, -83.443319",02KT,St Claire Healthcare Heliport,781
heliport,NA,US,US-KY,Frankfort,02KY,02KY,"38.18339920043945, -84.89990234375",02KY,Boone National Guard Heliport,760
heliport,NA,US,US-LA,Bossier City,02LA,02LA,"32.53129959106445, -93.66020202636719",02LA,La State Police Troop G Heliport,168
heliport,NA,US,US-LA,Broussard,02LS,02LS,"30.148300170898438, -91.91899871826172",02LS,Windy Hill Heliport,25
heliport,NA,US,US-MA,Gosnold,02MA,02MA,"41.41960144042969, -70.927001953125",02MA,Cuttyhunk Heliport,9
small_airport,NA,US,US-MD,Brandywine,02MD,02MD,"38.672544, -76.709739",02MD,Garner Field,141
small_airport,NA,US,US-ME,Acton,02ME,02ME,"43.5373, -70.929397",02ME,Nadeau's Airport,700
small_airport,NA,US,US-MI,Greenville,02MI,02MI,"43.157100677490234, -85.14849853515625",02MI,Fairplains Airpark,850
small_airport,NA,US,US-MN,Greenbush,02MN,02MN,"48.68330001831055, -96.19200134277344",02MN,Greenbush Municipal Airport,1070
small_airport,NA,US,US-MO,Troy,02MO,02MO,"39.04999923706055, -91.03350067138672",02MO,Troy Airpark,650
small_airport,NA,US,US-MS,Rochdale,02MS,02MS,"34.100101470947266, -90.8468017578125",02MS,Watts Field,153
heliport,NA,US,US-NC,Landis,02NC,02NC,"35.541111, -80.597778",02NC,Race City Heliport,809
small_airport,NA,US,US-NE,Valparaiso,02NE,02NE,"41.074501037597656, -96.90450286865234",02NE,Benes Service Airport,1550
seaplane_base,NA,US,US-NH,Dummer,02NH,02NH,"44.657100677490234, -71.21910095214844",02NH,Iroquois Landing Seaplane Base,1180
heliport,NA,US,US-NJ,Piscataway,02NJ,02NJ,"40.55730056762695, -74.46710205078125",02NJ,Penske Heliport,78
small_airport,NA,US,US-NV,Winnemucca,02NV,02NV,"41.30329895019531, -118.5979995727539",02NV,Paiute Meadows Airport,4443
heliport,NA,US,US-NY,Durhamville,02NY,02NY,"43.132598876953125, -75.65550231933594",02NY,Hansen Heliport,435
small_airport,NA,US,US-OH,Fremont,02OH,02OH,"41.376399993896484, -83.08329772949219",02OH,Zimmerman Airport,614
small_airport,NA,US,US-OH,Conneaut,02OI,02OI,"41.801998138427734, -80.56539916992188",02OI,Murtha Airport,950
small_airport,NA,US,US-OR,The Dalles,02OR,02OR,"45.68149948120117, -121.31600189208984",02OR,Rowena Dell Airport,705
heliport,NA,US,US-PA,Monroeville,02PA,02PA,"40.43830108642578, -79.7699966430664",02PA,Lag Iii Heliport,1070
heliport,NA,US,US-PA,Berwyn,02PN,02PN,"40.06959915161133, -75.4552001953125",02PN,Peco Berwyn Heliport,390
small_airport,NA,PR,PR-U-A,Vega Baja,02PR,02PR,"18.45330047607422, -66.36689758300781",02PR,Cuylers Airport,15
small_airport,NA,US,US-PA,Tioga,02PS,02PS,"41.90060043334961, -77.23030090332031",02PS,Hughes Ultralightport,1700
small_airport,NA,US,US-SC,Estill,02SC,02SC,"32.75849914550781, -81.22480010986328",02SC,Harpers Airport,111
small_airport,NA,US,US-MT,Wise River,02T,02T,"45.769100189208984, -112.98200225830078",02T,Wise River Airport,5830
heliport,NA,US,US-TX,Matagorda,02TA,02TA,"28.721399307250977, -95.8738021850586",02TA,Matagorda Shore Facility Heliport,5
heliport,NA,US,US-TX,Waxahachie,02TE,02TE,"32.39540100097656, -96.86419677734375",02TE,Baylor Medical Center Heliport,560
small_airport,NA,US,US-TN,Murfreesboro,02TN,02TN,"35.780601501464844, -86.58419799804688",02TN,Ellis Field,840
small_airport,NA,US,US-TX,New Home,02TX,02TX,"33.3704032898, -101.92288208",02TX,The Palms At Kitty Hawk Airport,3235
small_airport,NA,US,US-UT,Lucin,02UT,02UT,"41.36629867553711, -113.84300231933594",02UT,Lucin Airport,4412
small_airport,NA,US,US-VA,Culpeper,02VA,02VA,"38.435699462890625, -77.8572006225586",02VA,The Greenhouse Airport,320
heliport,NA,US,US-VA,Bristol,02VG,02VG,"36.63880157470703, -82.11669921875",02VG,Northstar Aviation Heliport,1850
small_airport,NA,US,US-WA,South Prairie,02WA,02WA,"47.15230178833008, -122.09400177001953",02WA,Cawleys South Prairie Airport,690
small_airport,NA,US,US-WI,Hudson,02WI,02WI,"45.031898498535156, -92.65579986572266",02WI,Beer Airport,920
small_airport,NA,US,US-WA,Tonasket,02WN,02WN,"48.74580001831055, -119.31900024414062",02WN,Fowler Field,2150
small_airport,NA,US,US-TX,Honey Grove,02XA,02XA,"33.591319, -95.882864",02XA,JLS Farms Airport,675
small_airport,NA,US,US-TX,Elroy,02XS,02XS,"30.1476993560791, -97.66280364990234",02XS,Seidel Ranch Airport,510
heliport,NA,US,US-AK,Palmer,03AA,03AA,"61.556055, -149.284527",03AA,Trapper T Heliport,159
seaplane_base,NA,US,US-AK,Kenai,03AK,03AK,"60.72722244262695, -151.13278198242188",03AK,Joe Clouds Seaplane Base,150
heliport,NA,US,US-AL,Scottsboro,03AL,03AL,"34.662604, -86.046774",03AL,Highland Medical Center Heliport,628
heliport,NA,US,US-AR,Malvern,03AR,03AR,"34.357601165771484, -92.78849792480469",03AR,Hscmh Heliport,350
small_airport,NA,US,US-AZ,Hereford,03AZ,03AZ,"31.433399200439453, -110.08399963378906",03AZ,Thompson International Aviation Airport,4275
heliport,NA,US,US-CA,La Mesa,03CA,03CA,"32.779484, -117.006952",03CA,Grossmont Hospital Heliport,634
small_airport,NA,US,US-CO,Platteville,03CO,03CO,"40.2125015259, -104.744003296",03CO,Kugel-Strong Airport,4950
small_airport,NA,US,US-FL,Lake Placid,03FA,03FA,"27.353099822998047, -81.40809631347656",03FA,Lake Persimmon Airstrip,70
heliport,NA,US,US-FL,West Palm Beach,03FL,03FL,"26.683700561523438, -80.18730163574219",03FL,Ranger Heliport,20
small_airport,NA,US,US-IN,Statesboro,03GA,03GA,"32.5623056, -81.8576944",03GA,HIA Airport,238
small_airport,NA,US,US-IA,Montezuma,03IA,03IA,"41.58190155029297, -92.4613037109375",03IA,East Field,954
small_airport,NA,US,US-ID,Council,03ID,03ID,"44.7943000793457, -116.53299713134766",03ID,Flying Y Ranch Airport,3180
small_airport,NA,US,US-IN,Mount Vernon,03II,03II,"37.9620018005, -87.7789001465",03II,Davis Field Ultralightport,465
small_airport,NA,US,US-IL,Monee,03IL,03IL,"41.40230178833008, -87.81670379638672",03IL,Wix Airport,750
small_airport,NA,US,US-IN,Arcadia,03IN,03IN,"40.18000030517578, -86.01249694824219",03IN,Heinzman Airport,850
heliport,NA,US,US-IL,Alton,03IS,03IS,"38.904999, -90.173401",03IS,OSF St Anthony's Health Center Heliport,580
heliport,NA,US,US-KS,Highland,03KS,03KS,"39.86470031738281, -95.26409912109375",03KS,Valley Grain Heliport,1160
small_airport,NA,US,US-KY,Henderson,03KY,03KY,"37.79169845581055, -87.54139709472656",03KY,Flying H Farms Airport,385
heliport,NA,US,US-LA,Carville,03LA,03LA,"30.199600219726562, -91.12789916992188",03LA,Damien Heliport,25
heliport,NA,US,US-LA,Winnsboro,03LS,03LS,"32.159000396728516, -91.70800018310547",03LS,Fmc Nr 1 Heliport,79
seaplane_base,NA,US,US-ME,East Winthrop,03M,03M,"44.320899963378906, -69.8895034790039",03M,Lakeside Marina Seaplane Base,165
small_airport,NA,US,US-MA,Hadley,03MA,03MA,"42.39310073852539, -72.552001953125",03MA,Hadley Airport,150
heliport,NA,US,US-MD,Bel Air,03MD,03MD,"39.522499084472656, -76.32669830322266",03MD,Upper Chesapeake Medical Center Heliport,302
small_airport,NA,US,US-ME,Harrison,03ME,03ME,"44.08420181274414, -70.6272964477539",03ME,Maple Ridge Airport,556
heliport,NA,US,US-MI,Bay City,03MI,03MI,"43.550899505615234, -83.86219787597656",03MI,Harold Miller Heliport,585
small_airport,NA,US,US-MN,Lakefield,03MN,03MN,"43.62519836425781, -95.22470092773438",03MN,Nauerth Land Ranch Airport,1435
heliport,NA,US,US-MS,Vicksburg,03MS,03MS,"32.31880187988281, -90.8832015991211",03MS,Vicksburg Medical Center Heliport,110
small_airport,NA,US,US-MT,Cascade,3MT7,3MT7,"47.267327, -111.71748",03MT,Cascade Field,3580
small_airport,NA,US,US-MO,Archie,03MU,03MU,"38.4925003052, -94.41249847410002",03MU,Mc Donnell Airport,874
small_airport,OC,MH,MH-UTI,Utirik Island,K03N,03N,"11.222, 169.852005",03N,Utirik Airport,4
small_airport,NA,US,US-NC,Carolina Beach,03NC,03NC,"34.10430145263672, -77.9041976928711",03NC,Pilots Ridge Airport,35
small_airport,NA,US,US-ND,Edinburg,03ND,03ND,"48.626399993896484, -97.8290023803711",03ND,Olafson Brothers Airport,1045
small_airport,NA,US,US-NE,Comstock,03NE,03NE,"41.5463981628418, -99.3311996459961",03NE,Hyde Ranch Airport,2430
heliport,NA,US,US-NH,Milford,03NH,03NH,"42.815399169921875, -71.12439727783203",03NH,Lorden Heliport,400
heliport,NA,US,US-NJ,Berkeley Heights,03NJ,03NJ,"40.668701171875, -74.410697937012",03NJ,At&T Heliport,360
small_airport,NA,US,US-NV,Ruby Valley,03NV,03NV,"40.58440017700195, -115.2979965209961",03NV,Llama Ranch Airport,6120
small_airport,NA,US,US-NY,Riverhead,03NY,03NY,"40.95840072631836, -72.716796875",03NY,Talmage Field,95
small_airport,NA,US,US-OH,Fremont,03OH,03OH,"41.418399810791016, -83.01740264892578",03OH,Gibbs Field,580
heliport,NA,US,US-OH,Garfield Heights,03OI,03OI,"41.4208984375, -81.59980010986328",03OI,Marymount Hospital Heliport,890
small_airport,NA,US,US-OK,Sapulpa,03OK,03OK,"36.04119873046875, -96.1613998413086",03OK,Sahoma Lake Airport,890
small_airport,NA,US,US-OR,Troy,03OR,03OR,"45.85540008544922, -117.48400115966797",03OR,Powwatka Ridge Airport,3340
heliport,NA,US,US-PA,Collegeville,03PA,03PA,"40.162899017333984, -75.4656982421875",03PA,Collegeville Heliport,197
heliport,NA,US,US-PA,Berwick,03PN,03PN,"41.066861, -76.180806",03PN,M.P. Metals Heliport,479
small_airport,NA,US,US-KS,Bonner Springs,03PR,03PR,"39.065947, -94.921703",03PR,Sun View Field Airport,980
small_airport,NA,US,US-OR,Sandy,03S,03S,"45.401798248291016, -122.22899627685547",03S,Sandy River Airport,704
heliport,NA,US,US-SC,Little River,03SC,03SC,"33.8650016784668, -78.66190338134766",03SC,Seacoast Medical Center Heliport,73
small_airport,NA,US,US-TX,Hebbronville,03TE,03TE,"27.491100311279297, -98.66950225830078",03TE,Barronena Ranch Airport,600
heliport,NA,US,US-TN,Sevierville,03TN,03TN,"35.92250061035156, -83.57939910888672",03TN,Eagles Landing Heliport,1000
heliport,NA,US,US-TX,San Angelo,03TS,03TS,"31.45989990234375, -100.43800354003906",03TS,Shannon Medical Center Heliport,1825
heliport,NA,US,US-TX,Pearland,03TX,03TX,"29.581600189208984, -95.30719757080078",03TX,M D K Field,50
small_airport,NA,US,US-UT,Mexican Hat,03UT,03UT,"37.12080001831055, -109.98600006103516",03UT,A Z Minerals Corporation Airport,5315
