1,3,2,0,1,2,724701
1,3,2,0,2,2,202840
1,4,1,0,1,3,790573
1,4,1,0,2,3,216822
1,4,1,0,4,3,74606
1,4,2,0,1,3,845415
1,4,2,0,2,3,235474
1,4,2,0,4,3,78754
1,4,0,0,1,3,6354042
1,4,0,0,1,4,2822175
1,4,0,0,2,3,1792516
1,4,0,0,2,4,797378
1,4,0,0,4,3,593980
2,4,1,0,1,3,229999
2,4,1,0,2,3,63620
2,4,1,0,2,4,141637
2,4,1,0,4,3,21179
2,4,1,0,4,4,48158
2,4,2,0,1,3,249869
2,4,2,0,1,4,535639
2,4,2,0,2,3,68747
2,4,2,0,2,4,147285
2,4,2,0,4,3,23338
2,4,3,0,4,4,57821
2,4,0,1,1,4,470628
2,4,0,1,2,4,133234
2,4,0,2,2,4,116051
2,4,0,3,2,4,76869
2,4,0,3,4,4,26558
2,4,0,4,1,4,106684
2,4,0,0,1,3,1526630
2,4,0,0,1,4,3803600
2,4,0,0,2,3,429026
2,4,0,0,2,4,1075245
2,4,0,0,4,3,140395
2,4,0,0,4,4,356200
2,5,1,4,4,5,34484
2,5,2,4,1,4,259614
0,1,1,0,1,0,2074070
0,1,1,0,2,0,577070
0,1,2,0,1,0,2244822
0,1,2,0,2,0,623845
0,1,2,0,4,0,204010
0,1,0,0,1,0,16642064
0,1,0,0,2,0,4611740
0,1,0,0,4,0,1517640
0,2,1,0,1,0,1599231
0,2,1,0,2,0,440435
0,2,1,0,4,0,147399
0,2,2,0,1,0,1724984
0,2,2,0,2,0,476936
0,2,2,0,4,0,159836
0,2,0,0,1,0,13583072
0,2,0,0,2,0,3768750
0,2,0,0,4,0,1255723
0,3,1,0,1,1,374552
0,3,1,0,1,2,143035
0,3,1,0,1,0,196304
0,3,1,0,2,1,99880
0,3,1,0,2,2,37626
0,3,1,0,2,0,53031
0,3,1,0,4,1,34308
0,3,2,0,1,1,395365
0,3,2,0,1,2,147735
0,3,2,0,1,0,206928
0,3,2,0,2,1,112028
0,3,2,0,2,2,41252
0,3,0,0,1,1,3290901
0,3,0,0,1,2,1420603
0,3,0,0,1,0,1727196
0,3,0,0,2,1,883077
0,3,0,0,2,2,395490
0,3,0,0,2,0,481637
0,3,0,0,4,1,309409
0,3,0,0,4,2,136467
0,0,1,0,1,0,1004207421
0,0,1,0,2,0,278120802
0,0,1,0,3,0,38164234
0,0,1,0,4,0,91146653
0,0,2,0,1,0,1085704690
0,0,2,0,2,0,298816155
0,0,2,0,4,0,100041661
0,0,3,0,1,0,29139580
0,0,3,0,2,0,7991039
0,0,3,0,4,0,3548828
0,0,0,0,1,0,7955771471
0,0,0,0,2,0,2204073415
0,0,0,0,4,0,723992798
1,3,1,0,1,2,673586
1,3,1,0,1,3,19533
1,3,1,0,2,2,187703
1,4,1,0,1,4,332152
1,4,1,0,3,3,28450
1,4,2,0,1,4,342038
1,4,2,0,3,3,30166
1,4,0,0,3,3,242058
2,4,1,0,1,4,505888
2,4,2,0,3,3,9288
2,4,2,0,4,4,53201
2,4,0,1,4,4,45090
2,4,0,2,1,4,408967
2,4,0,3,1,4,280660
2,4,0,4,4,4,9961
2,4,0,0,3,3,58094
2,4,0,0,3,4,148042
2,5,3,5,4,5,164007
0,1,2,0,3,0,84542
0,1,0,0,3,0,638018
0,2,2,0,3,0,66185
0,2,3,0,1,0,47956
0,2,0,0,3,0,525578
0,3,2,0,3,1,14589
0,3,2,0,3,0,7794
0,3,0,0,3,1,128286
0,3,0,0,3,2,53594
0,3,0,0,4,0,163843
0,0,2,0,3,0,41104373
0,0,3,0,3,0,1077974
